,Facility Code,Facility Name,County,Type,Owner,Location,Sub Location,Constituency,Open 24 Hours,Open Weekends,Operational Status
6782,12871,APTC Health Centre,Nairobi,Health Centre,Armed Forces,Embakasi,Embakasi,EMBAKASI EAST,N,N,Operational
6857,19288,Mugumo Medical,Nairobi,Medical Clinic,Private Practice - General Practitioner,kasarani,kasarani,KASARANI,N,Y,Operational
6906,13100,Mukuru Crescent Clinic,Nairobi,Medical Clinic,Supreme Council for Kenya Muslims,Hazina,Mukuru Nyayo,STAREHE,N,Y,Operational
6907,18463,Mukuru Health Centre,Nairobi,Health Centre,Local Authority,Mukuru Kwanjenga,Kwanjenga,EMBAKASI SOUTH,N,N,Operational
6908,13101,Mukuru Mmm Clinic,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Mukuru,Kwa Njenga,EMBAKASI SOUTH,N,N,Operational
6935,13018,Multi Media University Dispensary,Nairobi,Dispensary,Parastatal,Lang'ata,Lang'ata,LANG'ATA,N,N,Operational
6959,20062,Mundika Maternity & Nursing Home,Nairobi,Nursing Home,Private Practice - Unspecified,Huruma,Ngei,MATHARE,N,Y,Operational
6965,13102,Mundoro Medical Clinic Dandora,Nairobi,Medical Clinic,Private Enterprise (Institution),Dandora,Dandora,KASARANI,N,N,Operational
7039,18434,Muska Medical Centre,Nairobi,Health Centre,Private Practice - Clinical Officer,Eastleigh North,,KAMUKUNJI,Y,Y,Operational
7051,19500,Mutathamia Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),,,WESTLANDS,Y,Y,Operational
7053,13103,Muteithania Medical Clinic,Nairobi,Health Centre,Private Enterprise (Institution),Kawangware,,DAGORETTI NORTH,N,N,Operational
7083,13104,Muthurwa Clinic,Nairobi,Medical Clinic,Local Authority,muthurwa,Muthurwa,STAREHE,N,N,Operational
7115,13105,Mutuini Sub-District Hospital,Nairobi,Dispensary,Ministry of Health,Mutuini,Kirigu,DAGORETTI SOUTH,N,N,Operational
7172,20091,Mwangaza ulio Na Tumaini clinic,Nairobi,Health Centre,Christian Health Association of Kenya,korogocho,korogocho,RUARAKA,Y,Y,Operational
7185,13106,Mwatate Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Mukuru,Kwa Njenga,EMBAKASI SOUTH,N,N,Operational
7186,19454,Mwatate Healthcare Centre,Nairobi,Medical Clinic,Non-Governmental Organizations,Embakasi,Tassia,EMBAKASI EAST,N,Y,Operational
7215,19442,Mwera Medical Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,,,EMBAKASI CENTRAL,Y,Y,Operational
7240,20096,MYSA VCT,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Njiru,Njiru,EMBAKASI WEST,N,Y,Operational
7270,13108,Nairobi Deaf (Liverpool),Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Central Business District,,STAREHE,N,N,Operational
7271,18394,Nairobi Earc St Anne Medical Clinic,Nairobi,Medical Clinic,Academic (if registered),Makadara,Hamsa,MAKADARA,N,N,Operational
7272,20264,Nairobi East Hospital Ltd,Nairobi,Nursing Home,Private Practice - Medical Specialist,Pumwani,Pumwani,KAMUKUNJI,Y,Y,Operational
7273,19580,Nairobi Eye Associates,Nairobi,Eye Centre,Private Practice - Unspecified,Central,Central,STAREHE,N,Y,Operational
7275,13110,Nairobi Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Kilimani,,DAGORETTI NORTH,Y,Y,Operational
7276,13111,Nairobi Outpatient Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),Central Business District,,STAREHE,Y,Y,Operational
7277,19477,Nairobi Outreach Services Trust,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
7279,13161,Nairobi Remand Prison Health Centre,Nairobi,Dispensary,Other Public Institution,Viwandani,Landmawe,STAREHE,N,N,Operational
7280,13113,Nairobi South Clinic,Nairobi,Medical Clinic,Local Authority,Mukuru,Mukuru Nyayo,STAREHE,N,N,Operational
7281,13112,Nairobi South Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Nairobi West,South C,LANG'ATA,Y,Y,Operational
7282,13114,Nairobi West Chidren Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Nairobi West,Nairobi west,LANG'ATA,N,Y,Operational
7283,13115,Nairobi West Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Nairobi West,Nairobi West,LANG'ATA,Y,Y,Operational
7284,13116,Nairobi West Men's Prison Dispensary,Nairobi,Dispensary,Ministry of Health,Mugumoini,Mugumoini,LANG'ATA,N,N,Operational
7285,19609,Nairobi Women Hospital Eastleigh,Nairobi,Health Centre,Private Enterprise (Institution),,,KAMUKUNJI,Y,Y,Operational
7289,13117,Nairobi Womens Hospital (Hurlingham),Nairobi,Other Hospital,Private Enterprise (Institution),Kilimani,Hurlingham,DAGORETTI NORTH,Y,Y,Operational
7290,16795,Nairobi Womens Hospital Adams,Nairobi,Other Hospital,Private Enterprise (Institution),Kilimani,Maziwa,DAGORETTI NORTH,N,N,Operational
7306,19511,Nakhayo Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kibra,Lindi,KIBRA,N,Y,Operational
7387,19279,Narzareth Medical Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ROYSAMBU,N,Y,Operational
7391,13119,NASCOP VCT,Nairobi,VCT Centre (Stand-Alone),Ministry of Health,Golfcourse,,KIBRA,N,N,Operational
7399,20581,National Blood Transfusion Services,Nairobi,Laboratory (Stand-alone),Ministry of Health,,,KIBRA,N,N,Operational
7400,20580,National HIV Reference Lab,Nairobi,Laboratory (Stand-alone),Ministry of Health,,,KIBRA,N,N,Operational
7402,13194,National Spinal Injury Hospital,Nairobi,National Referral Hospital,Ministry of Health,Kilimani,Kilimani,DAGORETTI NORTH,Y,Y,Operational
7404,13130,National Youth Service Hq Dispensary (Ruaraka),Nairobi,Dispensary,State Coorporation,Ruaraka,Utalii,ROYSAMBU,N,N,Operational
7518,19161,Neema Medical Clinic (Kibera),Nairobi,Medical Clinic,Private Practice - Clinical Officer,Kibera,Lindi,KIBRA,N,Y,Operational
7555,13120,New Life Home Childrens Home (Kilimani),Nairobi,Medical Clinic,Non-Governmental Organizations,Kilimani,,DAGORETTI NORTH,N,N,Operational
7565,18218,New Partner Initiative (Npi) Sasa Centre,Nairobi,Health Project,Non-Governmental Organizations,Eastleigh North,,KAMUKUNJI,N,N,Operational
7566,18007,New Partners Initiative Scaling Up HIV and AIDS Pr,Nairobi,Health Programme,Non-Governmental Organizations,Mukuru Nyayo ,Nairobi Suoth ,MAKADARA,N,N,Operational
7567,19509,New Riruta Medical Clinic,Nairobi,Dispensary,Private Enterprise (Institution),Kawagware,kawagware,DAGORETTI NORTH,N,N,Operational
7574,20530,Newlight Medical Centre(Dandora),Nairobi,Medical Clinic,Private Practice - Clinical Officer,Dandora,Dandora phase 2,KASARANI,N,N,Operational
7575,20528,Nezel Medical Centre Njiru,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Njiru,Njiru,KASARANI,N,Y,Operational
7581,13121,Ngaira Rhodes Dispensary,Nairobi,Dispensary,Local Authority,Central Business District,,STAREHE,N,Y,Operational
7593,13122,Ngara Health Centre (City Council of Nairobi),Nairobi,Health Centre,Local Authority,Ngara,,STAREHE,Y,Y,Operational
7665,13123,Ngong Road Dispensary,Nairobi,Dispensary,Local Authority,Woodley,,KIBRA,N,N,Operational
7685,19236,Ngumba Medical Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),ruarak,,RUARAKA,N,Y,Operational
7711,19479,Nile Medical Care,Nairobi,Dispensary,Private Practice - Clinical Officer,Mutuini,Ndunyu,DAGORETTI SOUTH,N,Y,Operational
7713,13125,Nimoli Medical Centre,Nairobi,Dispensary,Private Enterprise (Institution),Ruaraka,,KASARANI,Y,Y,Operational
7714,21026,Nimoli Medical Services,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Tassia,Tassia,EMBAKASI EAST,N,Y,Operational
7733,13126,Njiru Dispensary,Nairobi,Dispensary,Local Authority,Njiru,Njiru,KASARANI,N,N,Operational
7778,13127,Nsis Health Centre (Ruaraka),Nairobi,Health Centre,Ministry of Health,Ruaraka,,RUARAKA,N,N,Operational
7804,13128,Nuffield Nursing Home,Nairobi,Nursing Home,Private Enterprise (Institution),Githurai,,KASARANI,N,N,Operational
7808,17955,Nuru Lutheran Media Ministry,Nairobi,VCT Centre (Stand-Alone),Other Faith Based,Woodley,Woodley,KIBRA,N,N,Operational
7868,19499,Nyalego Medical Clinic,Nairobi,Dispensary,Private Practice - Nurse / Midwife,Kawagware,kawagware,DAGORETTI NORTH,N,Y,Operational
8002,13129,Nyina Wa Mumbi Dispensary,Nairobi,Dispensary,Other Faith Based,Kawangware,,DAGORETTI NORTH,N,N,Operational
8016,13131,Nyumbani Diagnostic Laboratory and Medical Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Karen,Karen,LANG'ATA,Y,Y,Operational
8050,18436,Oasis Medical Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Dandora,Dandora  41,KASARANI,N,Y,Operational
8073,19492,Odeon Medical Centre (Nairobi),Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,Y,Operational
8076,13132,Ofafa I Clinic,Nairobi,Medical Clinic,Local Authority,Maringo,Maringo,MAKADARA,N,N,Operational
8092,13133,Ogwedhi Dispensary (Nairobi North),Nairobi,Dispensary,Private Enterprise (Institution),Ruaraka,,ROYSAMBU,N,N,Operational
8145,18797,Olive Link Health Care,Nairobi,Health Centre,Non-Governmental Organizations,Viwandani,Viwandani,MAKADARA,Y,Y,Operational
8218,20582,Oncology Reference Lab,Nairobi,Laboratory (Stand-alone),Ministry of Health,,,KIBRA,N,N,Operational
8253,19465,Orient Medical Care,Nairobi,Dispensary,Private Practice - Nurse / Midwife,Waithaka,Waithaka,DAGORETTI SOUTH,N,Y,Operational
8262,13135,Orthodox Dispensary,Nairobi,Dispensary,Christian Health Association of Kenya,Kawangware,,DAGORETTI SOUTH,N,N,Operational
8318,13137,Padens Medicare Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),Westlands,,WESTLANDS,N,N,Operational
8338,13138,Pangani Dispensary,Nairobi,Dispensary,Local Authority,Kariokor,,STAREHE,N,N,Operational
8341,18387,Paradise Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora  41,KASARANI,Y,Y,Operational
8343,20701,Paragon Health Care Ltd,Nairobi,Medical Clinic,Private Practice - General Practitioner,,,DAGORETTI NORTH,N,Y,Operational
8350,19424,Parkroad Dental Clinic (Ngara),Nairobi,Medical Clinic,Private Practice - Unspecified,Ngara ,Ngara West,STAREHE,N,N,Operational
8351,13139,Parkroad Nursing Home (Nairobi),Nairobi,Nursing Home,Private Enterprise (Institution),Ngara,,STAREHE,Y,Y,Operational
8357,12977,Patanisho Maternity and Nursing Home,Nairobi,Nursing Home,Private Enterprise (Institution),Kayole,Embakasi,EMBAKASI CENTRAL,Y,Y,Operational
8366,12910,PCEA Dandora Clinic,Nairobi,Medical Clinic,Christian Health Association of Kenya,Dandora, Dandora ,KASARANI,N,N,Operational
8373,19435,PCEA Kayole Parish Health Centre,Nairobi,Medical Clinic,Christian Health Association of Kenya,Kayole,Donholm,EMBAKASI CENTRAL,N,Y,Operational
8380,19700,PCEA Pipeline Clinic,Nairobi,Medical Clinic,Christian Health Association of Kenya,MUkuru,Pipeline,EMBAKASI SOUTH,,,Operational
8385,19289,Peace Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruaraka,babadogo,RUARAKA,N,Y,Operational
8400,20449,Penta Medical Centre Umoja,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Umoja II,Umoja II,EMBAKASI WEST,N,Y,Operational
8401,19975,Pentapharm Limited,Nairobi,Medical Centre,Private Practice - General Practitioner,City Cenre,CBD,STAREHE,N,Y,Operational
8410,19540,Pharmat Health Care,Nairobi,Dental Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
8416,19483,Philis Medical Laboratory,Nairobi,Laboratory (Stand-alone),Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
8426,13142,Pine Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kayole,Kayole Corner,EMBAKASI CENTRAL,Y,Y,Operational
8434,13143,Pipeline Medical Health Services,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Mukuru Kwanjega,Mukuru Kwa Njega,EMBAKASI SOUTH,Y,Y,Operational
8435,12978,Pipeline Nursing Home,Nairobi,Nursing Home,Private Enterprise (Institution),Mukuru,Kwa Njenga,EMBAKASI SOUTH,Y,Y,Operational
8438,20653,Planet Clinic Ltd,Nairobi,Medical Centre,Private Practice - General Practitioner,City Centre,City Centre,STAREHE,N,Y,Operational
8443,19353,Plaza X-Ray Services (Re-Insurance Plaza-Nairobi),Nairobi,Radiology Unit,Private Enterprise (Institution),Central,Central,STAREHE,N,Y,Operational
8447,19878,Police Central Workshop Dispensary,Nairobi,Dispensary,Armed Forces,Viwandani,Viwandani,STAREHE,N,N,Operational
8455,13145,Pona Mat Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Kahawa,,RUARAKA,N,N,Operational
8475,13146,Port Health Dispensary (Langata),Nairobi,Dispensary,Ministry of Health,Mugumoini,Mugumoini,LANG'ATA,N,Y,Operational
8483,19901,Positive Partner Network VCT,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Central,Central,STAREHE,N,Y,Operational
8485,20067,Post Bank Staff Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,City Cenre,CBD,STAREHE,N,Y,Operational
8491,17996,Precious Life Medical Clinic Ruai,Nairobi,Medical Clinic,Private Practice - General Practitioner,Ruai,Ruai Bypass,EMBAKASI NORTH,N,Y,Operational
8493,19498,Premier Laboratory (Nairobi),Nairobi,Laboratory (Stand-alone),Private Practice - Unspecified,Central,Central,STAREHE,N,Y,Operational
8497,18744,Premium Health Services,Nairobi,Dispensary,Private Practice - Medical Specialist,Kariobangi,Kariobangi,EMBAKASI NORTH,N,Y,Operational
8499,18556,Prescort Dispensary,Nairobi,Dispensary,Ministry of Health,Kasarani,Kasarani,RUARAKA,N,Y,Operational
8501,19275,Prestige Health Centre (Zimerman),Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,ROYSAMBU,N,Y,Operational
8503,20527,Prestige Medicare Clinic Njiru,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Njiru,Njiru,KASARANI,N,Y,Operational
8509,13147,Prime Health Services Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Kahawa,Kahawa,ROYSAMBU,Y,Y,Operational
8512,19440,Primed Medical Centre,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Komarock,Komarock,EMBAKASI CENTRAL,Y,Y,Operational
8513,19451,Primed Medical Services Komarock,Nairobi,Medical Clinic,Private Practice - Unspecified,komarock,,EMBAKASI CENTRAL,Y,Y,Operational
8519,20163,Proact services,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Kahawa West,Kahawa West,ROYSAMBU,Y,Y,Operational
8520,19506,Professional Diagnostic Centre (Nairobi),Nairobi,Laboratory (Stand-alone),Private Practice - Unspecified,Central,Central,STAREHE,N,Y,Operational
8521,19290,Promise Medical Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,kariobangi,kariobangi,EMBAKASI NORTH,N,Y,Operational
8522,13149,Provide Inter Math Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Ruaraka,,RUARAKA,N,N,Operational
8523,13148,Provide Internatinal Clinic (Dandora),Nairobi,Medical Clinic,Non-Governmental Organizations,Dandora, Dandora ,KASARANI,N,Y,Operational
8524,13151,Provide International Clinic (Kayole),Nairobi,Health Centre,Non-Governmental Organizations,Kayole,Komarock,EMBAKASI CENTRAL,Y,Y,Operational
8525,19447,Provide International Hospital Mukuru,Nairobi,Health Centre,Non-Governmental Organizations,mukuru,,EMBAKASI SOUTH,Y,Y,Operational
8526,13150,Provide International Korogocho,Nairobi,Other Hospital,Other Faith Based,Kasarani,,RUARAKA,N,N,Operational
8527,12971,Provide International Mutindwa Umoja Clinic,Nairobi,Dispensary,Non-Governmental Organizations,Umoja,Umoja,EMBAKASI WEST,N,N,Operational
8530,19521,Providence Whole Care,Nairobi,Dispensary,Private Enterprise (Institution),Riruta,Ngando,DAGORETTI SOUTH,N,N,Operational
8533,18001,Prudent Medical Clinic Kariobangi,Nairobi,Medical Clinic,Private Practice - General Practitioner,Kariobangi South,Saika,EMBAKASI WEST,Y,Y,Operational
8537,13153,PSTC Health Centre,Nairobi,Health Centre,Ministry of Health,Ruaraka,,ROYSAMBU,N,N,Operational
8541,13154,Pumwani Clinic,Nairobi,Dispensary,Local Authority,Pumwani,,KAMUKUNJI,N,N,Operational
8543,13155,Pumwani Majengo Dispensary,Nairobi,Dispensary,Local Authority,Pumwani Majengo,Pumwani,KAMUKUNJI,N,N,Operational
8544,13156,Pumwani Maternity Hospital,Nairobi,Other Hospital,Local Authority,Pumwani,Pumwani,KAMUKUNJI,Y,Y,Operational
8545,13157,Pumwani Maternity VCT Centre,Nairobi,VCT Centre (Stand-Alone),Local Authority,Pumwani,,KAMUKUNJI,N,N,Operational
8562,18757,R - Care Health Clinic,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Riruta,Ngando,DAGORETTI SOUTH,N,Y,Operational
8574,19370,Radiant Hosp Kasarani,Nairobi,Medical Clinic,Private Practice - General Practitioner,kasarani,kasarani,ROYSAMBU,N,Y,Operational
8575,13158,Radiant Pangani Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Kariokor,,STAREHE,N,N,Operational
8583,19487,Rafiki Medical Clinic (Westlands),Nairobi,Medical Clinic,Private Practice - Unspecified,Kangemi,,WESTLANDS,Y,Y,Operational
8589,20716,Raila Community Clinic,Nairobi,Dispensary,Ministry of Health,,,KIBRA,N,Y,Operational
8591,13168,Railway Training Institute Dispensary South B,Nairobi,Dispensary,Academic (if registered),Mukuru Nyayo,Nairobi South,STAREHE,N,N,Operational
8594,19213,Rainbow Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Nairobi West,Nairobi West,LANG'ATA,N,Y,Operational
8599,21272,Rama Medical Clinic,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Kayole,Kayole,EMBAKASI CENTRAL,Y,Y,Operational
8625,19535,Rapha Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Riruta,Satelite,DAGORETTI NORTH,N,Y,Operational
8627,19474,Rapha Mission Clinic,Nairobi,Medical Clinic,Christian Health Association of Kenya,Bahati,bahati,KAMUKUNJI,Y,Y,Operational
8639,13159,Ray of Hope Health Centre,Nairobi,Health Centre,Private Enterprise (Institution),Kawangware,,DAGORETTI NORTH,Y,Y,Operational
8643,17998,Rays International Clinic Kariobangi,Nairobi,Medical Clinic,Community,Kariobangi South,Kariobangi South,EMBAKASI WEST,N,Y,Operational
8651,19616,Recovery Medical Clinic (Kariobangi South),Nairobi,Medical Clinic,Private Practice - General Practitioner,Kariobangi south,Kwa mbao,EMBAKASI WEST,N,Y,Operational
8655,13160,Redemeed Health Centre,Nairobi,Health Centre,Ministry of Health,Kahawa,,RUARAKA,N,N,Operational
8667,18668,Reinha Rosary Medical Clinic (Githunguri),Nairobi,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,Ruai,Githunguri,EMBAKASI WEST,N,Y,Operational
8670,21107,Reliable Medical Health Services,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Umoja,Donholm,EMBAKASI WEST,Y,Y,Operational
8676,19620,Remla Medical Clinic (Dandora),Nairobi,Medical Clinic,Private Practice - General Practitioner,Dandora,Dandora phase 4,KASARANI,N,Y,Operational
8682,13173,Reuben Mukuru Health Centre,Nairobi,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Imara Daima,Imara Daima,EMBAKASI SOUTH,N,N,Operational
8686,16168,Revival Home Based Care Clinic,Nairobi,Health Centre,Other Faith Based,Sarang'ombe,Soweto East,KIBRA,Y,Y,Operational
8687,13162,Rgc Jipe Moyo Dispensary,Nairobi,Dispensary,Christian Health Association of Kenya,Waithaka,,DAGORETTI NORTH,N,N,Operational
8692,13163,Rhodes Chest Clinic,Nairobi,Dispensary,Local Authority,Central Business District,,STAREHE,N,N,Operational
8716,19544,Rimaal Medical Laboratory,Nairobi,Laboratory (Stand-alone),Private Practice - Unspecified,Central,Central,STAREHE,N,Y,Operational
8718,19475,Rinah Health Consultants,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Central,c,STAREHE,N,Y,Operational
8728,13165,Riruta Health Centre,Nairobi,Dispensary,Local Authority,Kawangware,Kawangware,DAGORETTI NORTH,N,N,Operational
8748,19642,Roma Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Eastleigh North,Eastleigh North,KAMUKUNJI,N,Y,Operational
8750,17861,Romieva Medical Centre,Nairobi,Medical Clinic,Non-Governmental Organizations,Mihan'go,Utawala,EMBAKASI EAST,Y,Y,Operational
8751,19456,Romieva Medical Centre Tassia,Nairobi,Medical Clinic,Non-Governmental Organizations,Embakasi,Tassia,EMBAKASI WEST,N,Y,Operational
8769,18992,Rosade Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Sarang'ombe,Kianda,KIBRA,N,Y,Operational
8770,19401,Rosadett Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Kariobangi,kariobangi,KASARANI,N,Y,Operational
8781,17938,Round About Medical Centre,Nairobi,Health Centre,Private Enterprise (Institution),Githurai,Githurai,ROYSAMBU,Y,Y,Operational
8782,13167,Round About Medical Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Ruaraka,,RUARAKA,N,N,Operational
8786,18988,Royal Clinic-Kibera,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Kibera,Lindi,KIBRA,N,Y,Operational
8795,19382,Royolk Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,ROYSAMBU,N,Y,Operational
8796,18221,Ruai (SDA) Clinic,Nairobi,Medical Clinic,Other Faith Based,Ruai,Ruai,KASARANI,N,Y,Operational
8797,13170,Ruai Community Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Ruai,Ruai,KASARANI,N,N,Operational
8798,13171,Ruai Health Centre,Nairobi,Health Centre,Local Authority,Ruai,Ruai,KASARANI,N,N,Operational
8800,13172,Ruaraka Clinic,Nairobi,Dispensary,Ministry of Health,Kasarani,,RUARAKA,N,N,Operational
8801,18485,Ruaraka Uhai Neema Hospital,Nairobi,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Ruaraka,Babadogo,RUARAKA,Y,Y,Operational
8829,13174,Rural Aid VCT,Nairobi,VCT Centre (Stand-Alone),Community,Central Business District,,STAREHE,N,N,Operational
8870,20231,SACODEN VCT Center,Nairobi,Medical Clinic,Non-Governmental Organizations,Kibra,Makina,KIBRA,N,Y,Operational
8891,19640,Sahal Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Eastleigh North,Eastleigh North,KAMUKUNJI,N,Y,Operational
8894,18386,Saika Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Njiru,Saika,KASARANI,N,N,Operational
8915,13175,Salama Nursing Home,Nairobi,Nursing Home,Private Practice - General Practitioner,Eastleigh Section I,,KAMUKUNJI,Y,Y,Operational
8928,13176,Samaritan Medical Services (Dandora),Nairobi,Nursing Home,Non-Governmental Organizations,Dandora,Dandora,KASARANI,Y,Y,Operational
8941,20235,Sam-link medical centre,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Kasarani,kasarani,KASARANI,N,Y,Operational
8959,19379,Sanitas Lotus Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,ROYSAMBU,N,Y,Operational
8964,19445,Santi Meridian Health Care,Nairobi,Medical Clinic,Private Practice - General Practitioner,kayole,,EMBAKASI CENTRAL,Y,Y,Operational
8966,13178,Saola Maternity and Nursing Home,Nairobi,Maternity Home,Private Enterprise (Institution),Laini Saba,Laini saba,KIBRA,Y,Y,Operational
8979,18796,Sasa Centre (Makadara),Nairobi,Medical Clinic,Non-Governmental Organizations,,,MAKADARA,N,N,Operational
8982,19311,Sasa Centre-Ngara,Nairobi,Medical Clinic,Non-Governmental Organizations,Ngara ,Ngara East,STAREHE,N,N,Operational
8999,19449,Scion Healthcare Ltd Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Kwa Njenga,Kwa Njenga,EMBAKASI SOUTH,Y,Y,Operational
9000,18593,SDA Health Services Likoni Road Clinic,Nairobi,Medical Clinic,Christian Health Association of Kenya,Viwandani,Landmawe,MAKADARA,N,Y,Operational
9021,20304,Selma medical clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Githurai,Githurai,ROYSAMBU,N,Y,Operational
9024,18662,Senate Health Services,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Dandora phase II,Dandora phase II,KASARANI,N,Y,Operational
9029,13179,Senye Medical Clinic,Nairobi,Maternity Home,Private Enterprise (Institution),Sarang'Ombe,Gatwekera,KIBRA,Y,Y,Operational
9056,13180,Sex Workers Operation Project (Swop),Nairobi,Dispensary,Non-Governmental Organizations,Central Business District,,STAREHE,N,N,Operational
9057,18176,Sex Workers Outreach Program (Lang'ata),Nairobi,Medical Clinic,Non-Governmental Organizations,Mugumoini,Southlands Estate,LANG'ATA,N,N,Operational
9058,13181,SGRR Medical Clinic,Nairobi,Medical Clinic,Other Faith Based,Nairobi West,South C,LANG'ATA,N,N,Operational
9059,13182,Shaam Nursing Home,Nairobi,Nursing Home,Private Enterprise (Institution),Eastleigh Section I,,KAMUKUNJI,N,N,Operational
9089,19400,Sharifik Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Roysambu,Roysambu,ROYSAMBU,Y,Y,Operational
9093,13183,Shauri Moyo Baptist VCT Centre,Nairobi,VCT Centre (Stand-Alone),Christian Health Association of Kenya,Shauri Moyo,,KAMUKUNJI,N,N,Operational
9094,13184,Shauri Moyo Clinic,Nairobi,Medical Clinic,Local Authority,Kamukunji,Shauri Moyo,KAMUKUNJI,N,N,Operational
9095,19636,Shauri Moyo Health Services,Nairobi,Medical Clinic,Private Enterprise (Institution),Shauri Moyo,Shauri Moyo,KAMUKUNJI,N,Y,Operational
9097,18471,Shekina Medical Clinic,Nairobi,Medical Clinic,Private Practice - Clinical Officer,kasarani,kasarani,KASARANI,N,Y,Operational
9101,13185,Shepherds Medical Clinic Maringo,Nairobi,Medical Clinic,Private Enterprise (Institution),Hamsa,Ofafa Maringo,MAKADARA,Y,Y,Operational
9130,19371,Shiply Medical Centre & Lab,Nairobi,Medical Clinic,Private Practice - General Practitioner,kasarani,kasarani,KASARANI,N,Y,Operational
9144,17389,Shree Cutchhi Leva Samaj Medical Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Nairobi West,Nairobi West,LANG'ATA,N,Y,Operational
9184,13186,Silanga (MSF Belgium) Dispensary,Nairobi,Dispensary,Non-Governmental Organizations,Laini Saba,Silanga,KIBRA,N,N,Operational
9185,20622,Silanga Community Clinic,Nairobi,Dispensary,Ministry of Health,Laini Saba,Silanga,KIBRA,N,N,Operational
9199,20400,Silverdine Medical Centre(lancet hse),Nairobi,Medical Clinic,Private Practice - Medical Specialist,Kilimani,Kilimani,DAGORETTI NORTH,N,Y,Operational
9223,13187,Single Mothers Association of Kenya (Smak),Nairobi,VCT Centre (Stand-Alone),Community,Central Business District,,STAREHE,N,N,Operational
